"","district","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","year"
"199",5974,1245,372,521,4,118,2013
"200",5978,1676,556,872,5,272,2013
"201",6411,574,315,438,1,109,2013
"202",6412,3914,2176,3315,34,1016,2013
"203",6413,568,314,558,8,210,2013
"204",6414,1635,792,1062,13,222,2013
"205",6431,537,228,324,10,79,2013
"206",6432,583,236,308,7,56,2013
"207",6433,454,202,289,5,67,2013
"208",6434,600,213,309,9,69,2013
"209",6435,908,350,582,16,175,2013
"210",6436,621,275,356,3,64,2013
"211",6437,193,76,102,0,22,2013
"212",6438,831,375,582,6,175,2013
"213",6439,420,149,203,3,35,2013
"214",6440,786,292,408,15,89,2013
"215",6531,880,350,512,22,111,2013
"216",6532,584,216,320,25,62,2013
"217",6533,464,212,280,11,39,2013
"218",6534,835,251,371,11,83,2013
"219",6535,275,91,119,5,15,2013
"220",6611,936,483,769,16,246,2013
"221",6631,622,249,342,7,74,2013
"222",6632,391,136,207,7,59,2013
"223",6633,407,198,256,3,44,2013
